,hardware - num zips,strap length,num compartments,num components,num colors,volume,num functionality,hardware - metal type,hardware - strap type,inner material,price,accessories_Buckle,accessories_Chain,"accessories_Chain, Turnlock",accessories_Clasp,accessories_Crystals,accessories_Lock,accessories_Logo,accessories_Other,accessories_Pieces,accessories_Strap,bag style_Clutch,bag style_Handle Bag,bag style_Purse,bag style_Shoulder Bag,bag style_Tote,major color_Beige,major color_Black,major color_Blue,major color_Brown,major color_Burgundy,major color_Gold,major color_Green,major color_Grey,major color_Multicolor,major color_Orange,major color_Pink,major color_Purple,major color_Red,major color_Silver,major color_White,major color_Yellow,skin type_Alligator,skin type_Calf,skin type_Canvas,skin type_Crocodile,skin type_Crystal,skin type_Embroidery,skin type_Epi,skin type_Lamb,skin type_Leather,skin type_Lizard,skin type_Others,skin type_Python,skin type_Snake
49,-0.967118189408445,-1.4499398353297284,-1.2461650974684269,-1.4264105646246577,-0.5878325716102849,1.5216353577116846,-0.9388763158866086,6,3,5,3675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,3.4042560267177264,1.3336687510151457,1.0813829358197091,-0.44357889509669235,-0.5878325716102849,0.8161964533811611,0.8293407456998378,5,3,1,3700,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0.4900065493002787,0.2202253164771961,-0.08239108082435892,-0.44357889509669235,0.8105901776941823,0.24917636149792233,0.8293407456998378,5,3,1,4700,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,-0.967118189408445,0.7769470337461709,-1.2461650974684269,-0.934994729860675,0.11137880304194873,-0.4932419454745316,-0.9388763158866086,2,1,2,8200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
109,-0.967118189408445,-0.058135542157291345,-1.2461650974684269,-0.44357889509669235,-0.5878325716102849,-0.7065164565248041,-0.9388763158866086,5,2,5,4200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,0.4900065493002787,0.7769470337461709,-0.08239108082435892,0.539252774431273,-0.5878325716102849,-0.6747426537235706,0.8293407456998378,6,3,5,5100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,-0.967118189408445,0.7769470337461709,-0.08239108082435892,-0.934994729860675,-0.5878325716102849,-0.5679141298825396,0.8293407456998378,5,3,2,24800,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,-0.967118189408445,-2.0066615525987035,-1.2461650974684269,-1.9178263993886404,-0.5878325716102849,-0.8127892683669524,-0.9388763158866086,0,0,5,3535,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.4900065493002787,-0.058135542157291345,1.0813829358197091,0.047836939667290315,0.11137880304194873,0.005890817801011357,0.8293407456998378,2,1,1,4400,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53,-0.967118189408445,1.2223244075613509,-1.2461650974684269,0.047836939667290315,5.7050698002598175,-0.6831069482739753,-0.9388763158866086,4,2,4,11500,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
68,1.9471312880090026,-0.3364964007917788,-0.08239108082435892,0.539252774431273,-0.5878325716102849,-0.10990405452431788,0.8293407456998378,2,3,3,4200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,0.4900065493002787,1.0553078923806583,-0.08239108082435892,0.047836939667290315,0.11137880304194873,-0.6831069482739753,-0.9388763158866086,4,2,5,4990,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
47,-0.967118189408445,-0.3364964007917788,1.0813829358197091,0.539252774431273,-0.5878325716102849,-0.6702685259558216,2.597557807286284,6,3,5,4600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,-0.967118189408445,0.7769470337461709,-0.08239108082435892,0.047836939667290315,1.5098015523464157,-0.5496299127658124,-0.9388763158866086,5,1,2,6600,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
